imagem;caminho;status;qtd_faces;tempo_ms
79.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\79.png;Reconhecimento concluído;2;151,804
8.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\8.png;Reconhecimento concluído;1;101,158
80.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\80.png;Reconhecimento concluído;5;190,363
81.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\81.png;Reconhecimento concluído;2;105,900
82.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\82.png;Reconhecimento concluído;8;270,886
83.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\83.png;Reconhecimento concluído;5;189,029
84.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\84.png;Reconhecimento concluído;4;137,790
85.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\85.png;Nenhum rosto detectado;0;102,522
86.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\86.png;Reconhecimento concluído;1;82,439
87.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\87.png;Reconhecimento concluído;2;100,572
88.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\88.png;Reconhecimento concluído;2;94,521
89.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\89.png;Nenhum rosto detectado;0;82,010
9.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\9.png;Nenhum rosto detectado;0;35,263
90.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\90.png;Reconhecimento concluído;2;104,676
91.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\91.png;Reconhecimento concluído;5;155,835
92.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\92.png;Reconhecimento concluído;2;134,952
93.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\93.png;Reconhecimento concluído;1;82,362
94.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\94.png;Reconhecimento concluído;2;127,995
95.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\95.png;Reconhecimento concluído;3;121,877
96.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\96.png;Reconhecimento concluído;2;89,589
97.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\97.png;Reconhecimento concluído;2;147,595
98.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\98.png;Reconhecimento concluído;2;140,410
99.png;C:\Users\vcomp\Documents\tcc\resources\teste_atual\tudo\99.png;Reconhecimento concluído;1;58,635
